Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Female,,58.50,0,Guinea-Bissau,Africa
Total,10.90,68.10,5180,Guyana,South America
Male,10.60,75.70,0,Guyana,South America
Female,11.30,70.90,0,Guyana,South America
Total,8.70,60.50,790,Haiti,North America
Male,9.00,85.90,0,Haiti,North America
Female,8.40,79.90,0,Haiti,North America
Total,10.70,73.30,2390,Honduras,North America
Male,10.30,78.20,0,Honduras,North America
Female,11.10,70.60,0,Honduras,North America
Total,15.30,82.90,50840,"Hong Kong SAR, China",Asia
Male,15.10,83.50,0,"Hong Kong SAR, China",Asia
Female,15.30,80.10,0,"Hong Kong SAR, China",Asia
Total,15.30,74.50,16140,Hungary,Europe
Male,14.90,67.70,0,Hungary,Europe
Female,15.60,65.70,0,Hungary,Europe
Total,18.50,81.80,72850,Iceland,Europe
Male,17.30,71.30,0,Iceland,Europe
Female,19.80,67.20,0,Iceland,Europe
Total,10.80,66.70,2130,India,Asia
Male,11.00,75.40,0,India,Asia
Female,10.50,72.50,0,India,Asia
Total,12.20,69.20,4050,Indonesia,Asia
Male,12.10,71.40,0,Indonesia,Asia
Female,12.30,65.90,0,Indonesia,Asia
Total,13.10,73.90,5420,"Iran, Islamic Rep.",Asia
Male,13.10,82.30,0,"Iran, Islamic Rep.",Asia
Female,13.00,78.10,0,"Iran, Islamic Rep.",Asia
Total,10.40,68.60,5740,Iraq,Asia
Male,11.90,83.30,0,Iraq,Asia
Female,9.90,79.50,0,Iraq,Asia
Total,17.50,80.20,62210,Ireland,Europe
Male,18.30,84.40,0,Ireland,Europe
Female,18.60,79.30,0,Ireland,Europe
Total,15.80,81.50,43290,Israel,Asia
Male,15.40,75.50,0,Israel,Asia
Female,16.30,72.60,0,Israel,Asia
Total,16.40,82.00,34460,Italy,Europe
Male,15.90,86.20,0,Italy,Europe
Female,16.80,79.60,0,Italy,Europe
Total,14.20,74.00,5250,Jamaica,North America
Male,13.30,75.10,0,Jamaica,North America
Female,15.00,71.90,0,Jamaica,North America
Total,15.00,83.00,41690,Japan,Asia
Male,15.20,72.70,0,Japan,Asia
Female,14.90,62.20,0,Japan,Asia
Total,12.80,73.40,4300,Jordan,Asia
Male,12.60,62.90,0,Jordan,Asia
Female,13.10,58.90,0,Jordan,Asia
Total,14.40,67.40,8810,Kazakhstan,Asia
Male,14.10,69.70,0,Kazakhstan,Asia
Female,14.70,61.90,0,Kazakhstan,Asia
Total,10.60,61.00,1750,Kenya,Africa
Male,10.80,72.90,0,Kenya,Africa
Female,10.20,66.00,0,Kenya,Africa
Total,11.90,65.80,3350,Kiribati,Oceania
Male,11.50,83.60,0,Kiribati,Oceania
Female,12.30,77.00,0,Kiribati,Oceania
Total,16.80,69.60,0,"Korea, Dem. People's Rep.",Asia
Male,0.00,75.40,0,"Korea, Dem. People's Rep.",Asia
Female,0.00,73.60,0,"Korea, Dem. People's Rep.",Asia
Total,,74.40,0,,
Male,17.60,66.10,0,,
Female,16.00,62.50,0,,
Total,13.40,68.80,34290,Kuwait,Asia
Male,12.70,77.90,0,Kuwait,Asia
Female,14.10,67.50,0,Kuwait,Asia
Total,12.40,64.30,1240,Kyrgyzstan,Asia
Male,12.20,80.30,0,Kyrgyzstan,Asia
Female,12.70,76.60,0,Kyrgyzstan,Asia
Total,10.00,72.80,2570,Lao PDR,Asia
Male,10.60,48.10,0,Lao PDR,Asia
Female,9.30,42.40,0,Lao PDR,Asia
Total,15.60,78.40,17730,Latvia,Europe
Male,14.70,61.30,0,Latvia,Europe
Female,16.60,58.00,0,Latvia,Europe
Total,13.20,45.10,7600,Lebanon,Asia
Male,13.40,75.00,0,Lebanon,Asia
Female,13.00,69.50,0,Lebanon,Asia
Total,11.00,59.60,1360,Lesotho,Africa
Male,10.50,78.50,0,Lesotho,Africa
Female,11.40,67.10,0,Lesotho,Africa
Total,9.50,72.00,580,Liberia,Africa
Male,10.40,82.80,0,Liberia,Africa
Female,8.60,77.80,0,Liberia,Africa
Total,14.00,79.50,7640,Libya,Africa
Male,13.80,64.90,0,Libya,Africa
Female,14.30,61.90,0,Libya,Africa
Total,14.50,72.80,0,Liechtenstein,Europe
Male,15.60,58.40,0,Liechtenstein,Europe
Female,13.40,52.80,0,Liechtenstein,Europe
Total,16.80,80.40,18990,Lithuania,Europe
Male,15.90,76.70,0,Lithuania,Europe
Female,17.50,72.50,0,Lithuania,Europe
Total,13.90,63.40,73910,Luxembourg,Europe
Male,13.90,77.40,0,Luxembourg,Europe
Female,14.00,74.70,0,Luxembourg,Europe
Total,10.20,55.60,520,Madagascar,Africa
Male,10.40,55.90,0,Madagascar,Africa
Female,10.00,54.60,0,Madagascar,Africa
Total,10.30,74.50,380,Malawi,Africa
Male,10.30,82.90,0,Malawi,Africa
Female,10.20,78.70,0,Malawi,Africa
Total,13.00,75.90,11200,Malaysia,Asia
Male,12.60,64.30,0,Malaysia,Asia
Female,13.30,60.70,0,Malaysia,Asia
Total,11.90,55.30,9650,Maldives,Asia
Male,11.80,77.00,0,Maldives,Asia
Female,11.90,70.00,0,Maldives,Asia
Total,7.60,80.90,880,Mali,Africa
Male,8.60,78.00,0,Mali,Africa
Female,6.60,72.10,0,Mali,Africa
Total,15.30,62.50,27290,Malta,Europe
Male,15.40,73.60,0,Malta,Europe
Female,15.20,65.60,0,Malta,Europe
Total,7.60,73.50,1660,Mauritania,Africa
Male,7.70,71.60,0,Mauritania,Africa
Female,7.60,63.50,0,Mauritania,Africa
Total,14.10,75.10,12740,Mauritius,Africa
Male,13.80,77.50,0,Mauritius,Africa
Female,14.40,72.80,0,Mauritius,Africa
Total,12.80,66.50,9430,Mexico,North America
Male,12.60,75.70,0,Mexico,North America
Female,13.00,73.00,0,Mexico,North America
Total,11.20,69.60,3400,"Micronesia, Fed. Sts.",Oceania
Male,,54.70,0,"Micronesia, Fed. Sts.",Oceania
Female,,49.80,0,"Micronesia, Fed. Sts.",Oceania
Total,11.80,67.40,3930,Moldova,Europe
Male,11.50,66.90,0,Moldova,Europe
Female,12.10,60.10,0,Moldova,Europe
Total,14.60,75.20,3780,Mongolia,Asia
Male,13.90,58.60,0,Mongolia,Asia
Female,15.30,54.60,0,Mongolia,Asia
Total,15.10,74.40,9010,Montenegro,Europe
Male,14.80,69.00,0,Montenegro,Europe
